mode,seed,wall_sec,qps,final_accuracy,eval_cycles,eval_samples,final_p99_ms,max_cycle_p99_ms,return_code,valid,log
fully_parallel,11,35.06480252405163,1425.9313157604133,0.2683,3,30000,0.8465099334716798,5.469107627868652,0,True,fully_parallel_seed11.log
adaptocl,11,33.95663065696135,1472.4664677456637,0.2955,2,20000,1.1587142944335938,4.30893659591675,0,True,adaptocl_seed11.log
freshness,11,34.77221087110229,1437.9298510913175,0.2683,6,60000,1.2626242637634284,4.205315113067627,0,True,freshness_seed11.log
adaptocl,22,33.776472122990526,1480.320378574015,0.3508,3,30000,1.2405633926391604,5.503063201904298,0,True,adaptocl_seed22.log
freshness,22,32.814015947980806,1523.7391265751708,0.2743,6,60000,0.8062243461608887,5.262875556945801,0,True,freshness_seed22.log
fully_parallel,22,33.56404101091903,1489.6895157449617,0.2743,3,30000,1.2082481384277348,5.490820407867432,0,True,fully_parallel_seed22.log
freshness,33,34.56323680409696,1446.6237720557826,0.2385,7,70000,1.276452541351319,5.508172512054443,0,True,freshness_seed33.log
fully_parallel,33,34.818042017985135,1436.0370974959671,0.2385,3,30000,0.8129787445068362,5.336189270019532,0,True,fully_parallel_seed33.log
adaptocl,33,41.929441148997284,1192.4795234528356,0.2718,3,30000,1.7403697967529304,4.270079135894778,0,True,adaptocl_seed33.log
