training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.9848,0,0.0798,0
1,0,0.8299,0,0.4470,0
2,0,0.7813,0,0.5942,0
3,0,0.7219,0,0.7843,0
4,0,0.6509,0,0.9988,0
5,0,0.6170,0,1.1851,0
6,0,0.6126,0,1.1861,0
7,0,0.6081,0,1.2995,0
8,0,0.6198,0,1.2047,0
9,0,0.5872,0,1.3805,0
