case,mode,seed,model,epochs,wall_sec,training_samples_per_wall_sec,final_accuracy,model_hash,trace_hash,pair_match,load_start,load_end,return_code,valid,log,requests,unique_samples,dropped,miss_rate,p50_ms,p95_ms,p99_ms,goodput,stream_seconds,train_completion_seconds,online_accuracy,max_train_pause_seconds,train_updates,controller_seconds,decisions,guard_overrides,neural_parameters,neural_updates
pilot,fifo,7,resnet20,1,30.222313662990928,1654.4067591101755,0.2083,224ac2c95ec03ac9e90efac643af8a862e5b653e284e8cc03ba0bcf0f9e365de,27b0746e855e78ebf21884b1a14f1de5cba3fdf2ec479169c16c9e65ba0bf789,True,3.39,3.18,0,True,pilot_fifo_seed7.log,300,300,0,0.030000000000000027,11.214227340938132,43.410992269552494,150.42058169306821,14.644275143354543,19.87124641891569,20.801466112956405,0.13,0.34835892997216433,790,0.1451719447504729,133,0,0,0
pilot,debt,7,resnet20,1,29.76726274599787,1679.6976069532082,0.2083,224ac2c95ec03ac9e90efac643af8a862e5b653e284e8cc03ba0bcf0f9e365de,27b0746e855e78ebf21884b1a14f1de5cba3fdf2ec479169c16c9e65ba0bf789,True,3.18,3.11,0,True,pilot_debt_seed7.log,300,300,0,0.020000000000000018,11.097077804586853,25.883581525970925,126.46050420945869,15.384714745274573,19.10987657995429,19.988245757995173,0.13,0.362134653958492,790,0.1511529547860846,142,1,0,0
pilot,neural,7,resnet20,1,28.61025511508342,1747.625101519624,0.2083,224ac2c95ec03ac9e90efac643af8a862e5b653e284e8cc03ba0bcf0f9e365de,27b0746e855e78ebf21884b1a14f1de5cba3fdf2ec479169c16c9e65ba0bf789,True,3.11,3.39,0,True,pilot_neural_seed7.log,300,300,0,0.023333333333333317,11.862998978741214,28.928586160182167,135.24905513146788,15.983981670149788,18.330851851962507,19.33253312902525,0.13,0.3574385429965332,790,0.16771611431613564,136,1,65,114
pilot,boundary,7,resnet20,1,28.25600886705797,1769.5351185387005,0.2083,224ac2c95ec03ac9e90efac643af8a862e5b653e284e8cc03ba0bcf0f9e365de,27b0746e855e78ebf21884b1a14f1de5cba3fdf2ec479169c16c9e65ba0bf789,True,3.39,3.22,0,True,pilot_boundary_seed7.log,300,300,0,0.9533333333333334,681.587348721017,1816.8321414808488,1914.1746963422222,0.7707520599543249,18.164077305002138,19.041266868938692,0.17333333333333334,0.3407203700626269,790,0.10939771763514727,226,0,0,0
