mode,seed,wall_sec,qps,final_accuracy,eval_cycles,eval_samples,final_p99_ms,max_cycle_p99_ms,return_code,valid,log
fully_parallel,11,44.22970926808193,1130.4618734195967,0.4733,5,50000,1.2681007385253913,2.75303602218628,0,True,fully_parallel_seed11.log
freshness_adaptive,11,43.775289222016,1142.1969080869806,0.4735,10,100000,4.101042747497558,5.294077396392821,0,True,freshness_adaptive_seed11.log
freshness_adaptive,22,47.2970017750049,1057.1494624089164,0.518,10,100000,3.2159638404846183,5.614156723022461,0,True,freshness_adaptive_seed22.log
fully_parallel,22,45.9443815179402,1088.2723490461217,0.5181,5,50000,0.8081316947937012,2.547676563262941,0,True,fully_parallel_seed22.log
fully_parallel,33,46.50449935195502,1075.164783983381,0.5082,5,50000,1.7052936553955114,2.439327239990242,0,True,fully_parallel_seed33.log
freshness_adaptive,33,49.785285409889184,1004.3128122766203,0.5083,10,100000,1.8916726112365723,6.541178226470947,0,True,freshness_adaptive_seed33.log
