mode,n,wall_sec_mean,wall_sec_sd,qps_mean,qps_sd,train_seconds_mean,train_seconds_sd,final_accuracy_mean,final_accuracy_sd,eval_cycles_mean,eval_cycles_sd,max_cycle_p99_ms_mean,max_cycle_p99_ms_sd,wall_cv_pct
fully_parallel,3,46.71714062635632,4.28995303451484,1076.0328268064327,94.13421886936364,29.90611982345581,3.8957729197677207,0.4998666666666667,0.023533876292131165,5.333333333333333,0.5773502691896257,2.4971270561218293,0.1535199731955724,9.182824498669307
freshness_adaptive,3,44.01714899398697,2.36671775992118,1138.0929057584578,60.619659618668024,28.07407792409261,2.4549605678918396,0.49993333333333334,0.023400071224962845,10.0,0.0,5.706599553426106,0.14818611172246535,5.376808389485856
boundary,3,43.46727864230828,2.5031602008213096,1152.7734510129198,64.68623391470575,25.562233527501423,1.6484400724072268,0.49993333333333334,0.023400071224962845,10.0,0.0,5.000107288360596,0.36366135526050447,5.758723064813386
boundary_cached,3,36.10334850300569,0.8095124390664674,1385.3834191305486,31.464190064644868,25.405717452367146,0.5140961656946796,0.49993333333333334,0.023400071224962845,10.0,0.0,4.396978219350178,0.14903579745158707,2.2422087496927703
